symbol,roa,ocf,roa_change,accruals,change_leverage,change_curr_ratio,change_shares,change_gross_margin,change_asset_turnover
AMD,1,1,0,1,1,1,0,1,0
AME,1,1,0,1,0,0,0,1,0
AMED,1,1,0,1,0,1,0,1,0
AMEH,1,1,1,1,0,1,0,0,0
AMG,1,1,0,1,1,0,1,0,1
AMGN,1,1,1,1,1,0,1,0,1
AMH,1,1,1,1,0,0,0,0,1
AMK,0,1,1,1,1,1,1,0,0
AMKR,1,1,0,1,0,1,0,0,0
AMN,1,1,0,1,0,0,1,1,0
AMNB,1,1,0,1,0,0,0,0,0
AMOT,1,1,0,1,0,0,0,1,0
AMOV,1,1,1,1,0,0,1,1,0
AMP,1,1,0,1,0,0,1,0,0
AMPE,0,0,0,0,0,0,0,1,0
AMPH,1,0,1,0,0,1,1,1,0
AMPY,1,1,0,1,0,1,0,0,1
AMRC,1,1,1,1,0,0,0,0,0
AMRK,1,0,1,0,0,1,1,1,0
AMRN,0,0,1,0,1,1,0,1,0
AMRS,0,0,0,0,0,1,0,1,1
AMRX,0,0,0,0,0,0,0,0,0
AMS,1,1,0,1,1,1,0,0,1
AMSC,1,1,1,1,0,1,0,1,1
AMSF,1,1,1,1,0,0,0,1,0
AMSWA,1,1,0,1,0,1,0,0,0
AMT,1,1,1,1,0,0,0,1,0
AMTB,1,1,0,1,0,0,1,0,1
AMTX,0,0,0,0,0,0,0,1,1
AMWD,1,1,0,1,1,0,1,1,0
AMZN,1,1,0,1,0,0,0,1,0
AN,1,1,1,1,1,1,1,1,0
ANAB,0,0,0,0,1,0,0,0,1
ANAC,0,0,1,0,0,1,0,0,1
ANAT,1,1,1,1,0,0,0,1,1
ANDE,1,1,0,1,0,1,0,0,1
ANET,1,1,1,1,0,1,0,1,0
ANF,1,1,0,1,0,0,1,0,0
ANGI,1,1,0,1,1,0,1,1,0
ANGN,0,0,0,0,0,0,0,1,1
ANGO,1,0,1,0,0,1,0,1,0
ANIK,1,1,1,1,0,0,1,1,0
ANIP,1,1,0,1,0,1,0,1,0
ANIX,0,0,0,0,0,0,1,0,0
ANSS,1,1,0,1,0,0,0,1,0
ANTE,0,0,1,0,0,0,0,1,1
ANTM,1,1,1,1,0,1,1,0,1
ANY,0,0,0,0,1,0,0,0,0
AON,1,1,1,1,0,0,1,0,0
AOS,1,1,0,1,0,0,1,0,0
AOSL,1,0,0,0,0,0,0,0,0
AP,0,0,1,0,1,1,0,1,0
APA,0,0,0,0,0,0,0,0,0
APAC,1,1,0,1,0,1,1,0,0
APAM,1,1,0,1,0,0,0,0,0
APD,1,1,1,1,1,1,0,1,0
APDN,0,0,0,0,1,0,0,1,1
APEI,1,1,0,1,0,0,1,0,0
