roa,ocf,roa_change,accruals,change_leverage,change_curr_ratio,change_shares,change_gross_margin,change_asset_turnover,price_change
0.16,0.0,0.0199999999999999,-0.16,0.0,,196289.0,,0.0,0.1407166123778503
0.14,0.0,-0.0019999999999999,-0.14,0.0,,-190201.0,,0.0,0.1650853889943073
0.142,0.0,0.0229999999999999,-0.142,0.0,,-3392295.0,,0.0,0.0755102040816327
0.119,0.0,0.0029999999999999,-0.119,0.0,,-712514.0,,0.0,0.4479905437352244
0.116,0.0,0.009,-0.116,0.0,,4728505.0,,0.0,-0.3662921348314606
0.107,0.0,0.076,-0.107,0.0,,-9144848.0,,0.0,0.1318355235269181
0.031,0.0,0.0849999999999999,-0.031,0.0,,0.0,,0.0,0.1276290630975142
-0.054,0.0,-0.13,0.054,0.0,,86543.0,,0.0,0.4578397212543555
0.076,0.0,-0.022,-0.076,0.0,,3735050.0,,0.0,-0.3313140726933831
0.098,0.0,-0.0529999999999999,-0.098,0.0,,9441736.0,,0.0,-0.1584313725490195
0.032,2261000000.0,-0.017,2260999999.968,1463000000.0,0.121,1538705.0,0.009,-0.006,0.1034790365744869
0.049,2102000000.0,0.0,2101999999.951,0.0,0.0,-6644083.0,0.0,0.0,0.2008569898232458
0.049,2102000000.0,-0.0039999999999999,2101999999.951,1171000000.0,-0.163,0.0,0.01,-0.2029999999999999,-0.0527650938609842
0.053,3294000000.0,0.0,3293999999.947,0.0,0.0,-100346.0,0.0,0.0,-0.2131736526946107
0.053,3294000000.0,0.0059999999999999,3293999999.947,644000000.0,-0.0759999999999998,0.0,0.011,-0.011,0.0312885961300947
0.047,3098000000.0,-0.002,3097999999.953,16000000.0,-0.0050000000000001,-52918306.0,0.0,0.0,0.0728798586572437
0.049,3098000000.0,0.004,3097999999.951,-652000000.0,-0.008,0.0,0.002,0.013,0.0013268465280849
0.045,3154000000.0,-0.011,3153999999.955,-252000000.0,-0.167,-123118123.0,0.004,-0.031,0.2695115103874229
0.056,3649000000.0,0.0,3648999999.944,0.0,0.0,0.0,0.0,0.0,-0.1539192399049882
0.056,3649000000.0,-0.0029999999999999,3648999999.944,-332000000.0,0.0190000000000001,0.0,-0.005,-0.033,0.0354156419085097
0.089,6383000000.0,0.0109999999999999,6382999999.911,2942000000.0,-0.2919999999999999,-112889141.0,0.014,0.096,0.1866263694748773
0.078,9592000000.0,-0.016,9591999999.922,526000000.0,-0.3800000000000001,-5947630.0,-0.022,0.0109999999999999,-0.3304384485666105
0.094,9384000000.0,-0.015,9383999999.906,5171000000.0,0.157,-17317941.0,-0.031,-0.0809999999999999,0.9200259025416868
0.109,7537000000.0,0.047,7536999999.891,16660000000.0,0.0869999999999999,17351317.0,0.025,-0.2169999999999999,0.1377785964265979
0.062,3411000000.0,-0.0849999999999999,3410999999.938,288000000.0,-1.1840000000000002,5368145.0,0.022,0.0339999999999999,-0.1143556280587275
0.147,5664000000.0,-0.079,5663999999.853,-949000000.0,0.3290000000000002,11184674.0,0.001,-0.12,0.2010188087774294
0.226,5817000000.0,0.0,5816999999.774,0.0,0.0,0.0,0.0,0.0,0.3257142857142857
0.226,5817000000.0,,5816999999.774,15672000000.0,1.019,-2665910.0,0.021,,-0.0680222706366497
